continet,country,code,latitude,longitude,total 2018,total 2017,total 2016,total 2015
North America,United States,USA,45.69840238,-112.9275915,393981,234592,16933,3543
Europe,United Kingdom,GBR,54.14487754,-2.885835605,313945,254131,103124,59345
Oceania,Australia,AUS,-25.73231054,134.4911188,89333,64507,14673,3877
North America,Canada,CAN,61.47510411,-98.38980441,42297,27889,5993,3422
Europe,Germany,DEU,51.10827148,10.38286533,26728,17457,3012,1130
Europe,Netherlands,NLD,52.04660957,5.230689441,14422,9581,1347,336
Europe,France,FRA,46.55285504,2.629210599,13475,9932,2513,1082
Europe,Ireland,IRL,53.17804618,-8.143635965,13130,10422,1581,267
Oceania,New Zealand,NZL,-41.82518909,171.4700528,10923,8698,2448,1206
Europe,Sweden,SWE,62.77709987,16.75446644,9139,6106,1064,267
Europe,Switzerland,CHE,46.79987042,8.227367425,8542,6153,1395,586
Europe,Norway,NOR,68.79427292,15.40959916,6975,4931,912,333
Europe,Italy,ITA,42.77935338,12.06598283,6580,3922,590,221
Europe,Belgium,BEL,50.63787435,4.638948941,6248,4488,884,252
Europe,Denmark,DNK,55.96537752,10.05138979,5325,3346,551,172
Europe,Spain,ESP,40.22633625,-3.652423882,4937,3719,723,246
Europe,Finland,FIN,64.49535893,26.27079508,3549,2121,350,124
Europe,Austria,AUT,47.58548088,14.131042,3157,2000,360,145
Asia,Singapore,SGP,1.35892102,103.8134677,3115,1922,302,54
Asia,India,IND,22.88689106,79.61598092,2958,1286,144,29
Asia,Hong Kong,HKG,22.38463688,114.1314469,2143,1482,281,58
Europe,Portugal,PRT,39.58741265,-8.579172275,2092,1343,169,57
South America,Brazil,BRA,-10.76939366,-53.09232763,1859,1104,146,46
Asia,Japan,JPN,37.55117739,137.9783476,1526,1096,324,159
Africa,South Africa,ZAF,-29.00103218,25.08736444,1246,796,130,52
North America,Mexico,MEX,23.94764183,-102.5351917,1171,706,102,27
Europe,Greece,GRC,39.05242144,22.97529023,1155,717,110,48
Europe,Luxembourg,LUX,49.76665998,6.072011663,1110,868,176,53
Asia,United Arab Emirates,ARE,23.91341188,54.30414031,1094,722,119,19
Europe,Poland,POL,52.12297005,19.39404334,968,528,48,9
Europe,Czech Republic,CZE,49.73206163,15.31332426,875,503,73,15
Asia,Israel,ISR,31.43948778,34.98755287,863,459,73,21
Asia,Malaysia,MYS,3.792392789,109.6988686,858,470,103,26
Asia,Thailand,THA,15.11439974,101.0033334,716,406,95,32
Europe,Iceland,ISL,64.99831582,-18.59644593,648,471,81,22
Africa,Mayotte,#N/A,-12.792848,45.166757,620,242,13,0
Europe,Hungary,HUN,47.16022012,19.39703016,508,264,35,12
Europe,Romania,ROU,45.85182995,24.97346516,501,265,23,6
Europe,Slovenia,SVN,46.1170687,14.80821954,488,298,51,15
Europe,Russian Federation,RUS,61.97515343,96.70266106,449,158,12,1
Asia,Philippines,PHL,11.76301507,122.8744843,410,216,27,9
Europe,Malta,MLT,35.91908523,14.40620192,390,235,36,9
Europe,Croatia,HRV,45.08321463,16.40028432,365,164,23,3
Asia,Taiwan,TWN,23.75298511,120.9498753,361,209,33,10
Asia,Turkey,TUR,39.06009445,35.16637915,356,233,53,18
Europe,Slovakia,SVK,48.7046434,19.4793392,332,153,15,5
Asia,China,CHN,36.56046261,103.8290686,321,203,51,10
South America,Chile,CHL,-37.74360612,-71.36437425,318,211,48,17
Asia,Indonesia,IDN,-2.222961089,117.2704336,313,143,23,9
Asia,South Korea,KOR,36.37335351,127.819094,287,181,44,11
Europe,Bulgaria,BGR,42.76758049,25.21548868,271,142,25,5
South America,Argentina,ARG,-35.38755104,-65.17819055,269,175,30,16
Asia,Cyprus,CYP,34.91100777,33.00075371,264,175,32,9
Europe,Estonia,EST,58.66984736,25.46875717,264,147,15,1
Asia,Vietnam,VNM,16.64218273,106.3009352,243,100,26,5
Asia,Qatar,QAT,25.31309774,51.18916515,214,139,15,5
South America,Colombia,COL,3.909413076,-73.08384204,212,121,22,3
Europe,Ukraine,UKR,49.00593645,31.38029154,172,51,8,1
Africa,Kenya,KEN,0.5575576235,37.8479134,171,109,31,24
Asia,Saudi Arabia,SAU,24.12223875,44.53945479,171,104,10,1
North America,Bermuda,BMU,32.3107142,-64.7565802,137,106,20,5
Europe,Latvia,LVA,56.85181946,24.90862232,136,75,8,2
Europe,Lithuania,LTU,55.32702361,23.88824886,130,58,8,1
South America,Peru,PER,-9.128103645,-74.39717366,126,61,15,8
North America,Costa Rica,CRI,9.973309511,-84.19359752,125,88,16,6
North America,Trinidad and Tobago,TTO,10.46882986,-61.25844984,123,79,11,6
Africa,Nigeria,NGA,9.595314824,8.091239272,122,41,7,2
Asia,Lebanon,LBN,33.92463585,35.8813038,121,63,6,0
Europe,Serbia,SRB,44.22535263,20.78805237,115,41,8,1
Seven seas open ocean,Mauritius,MUS,-20.18554387,57.84970016,106,60,13,8
Asia,Pakistan,PAK,29.94069958,69.33452813,96,54,14,4
South America,Uruguay,URY,-32.79713922,-56.02796396,95,64,8,2
Asia,Kuwait,KWT,29.32674771,47.59487609,91,46,6,2
Asia,Sri Lanka,LKA,7.615914607,80.70316286,86,47,15,10
North America,Puerto Rico,PRI,18.22381647,-66.46760029,80,44,4,3
Europe,Jersey,JEY,49.22182172,-2.128545036,79,58,19,6
Europe,Isle of Man,IMN,54.2291019,-4.533695083,77,66,18,4
Asia,Oman,OMN,20.60443247,56.0932362,74,50,9,3
Asia,Bahrain,BHR,26.03839738,50.53635535,70,38,4,0
North America,Jamaica,JAM,18.15522639,-77.31881047,68,37,7,3
Africa,Egypt,EGY,26.49619977,29.85707121,65,26,4,1
